Frequency Log(Hz), Gain (dB), Phase (deg)
3.00000330702098, 40.1142868271891, 8.93192243832927
3.00999901826351, 62.6672008649003, -88.1970987338667
3.02000165441083, 40.0674293784031, -106.898466739686
3.03000562693885, 48.7747935906818, -34.9414967024464
3.04000571832066, 41.5249858306904, -11.4467548033041
3.04999706515493, 44.5759792919761, 10.1356806033586
3.05999275589204, 41.2327991915897, -5.25137595855983
3.07000459811, 40.0472571850737, 42.7487535519953
3.0799927309839, 44.3899911691719, 201.064832041929
3.09000294779621, 52.6646005688473, 270.945644764885
3.09999650842934, 45.599869700394, 188.79537365798
3.11000080906787, 43.0746252440351, 218.129558972338
3.11999466293782, 51.2389000682125, 240.271028982792
3.13000363828281, 50.1033664738057, 373.486112242454
3.14000693911243, 52.2774747160103, 388.038855915384
3.14999981694791, 44.2492953564981, 401.282090391832
3.16000583832442, 40.7145099065727, 385.966724190497
3.17000532186667, 39.0922544162951, 421.701581775951
3.17999358236785, 39.7805302649231, 432.02541301658
3.190005436766, 31.8278749756314, 390.785596565887
3.19999588945832, 39.9458245522342, 454.808177223102
3.20999867030517, 37.8571406516536, 465.260203860275
3.21999564412006, 43.3425659059138, 468.636712509642
3.23000589783148, 33.4565836846136, 519.854309197846
3.24000013239226, 49.8138062373311, 440.892318118264
3.24999704841057, 49.6622410693785, 559.411411373739
3.26000246307543, 54.1398374468478, 630.232456294356
3.26999981795393, 46.7897593183305, 794.140105834785
3.279995146171, 38.9499387135345, 734.276100607215
3.29000421164423, 41.8218715084978, 788.648124532126
3.30000068984962, 41.9924396777094, 796.456942785284
3.31000011404039, 39.7756550640616, 813.253793178371
3.31999716623034, 25.4272533222985, 777.773739802126
3.3299963462566, 43.4104788507856, 832.961209800785
3.34000163504945, 43.9998843957818, 823.548652012905
3.34999846102084, 44.8696452349788, 869.656565488998
3.35999992735521, 48.6365814120652, 824.193149454891
3.37000059983632, 44.9345951839332, 730.379147223656
3.3800038386795, 38.4945921840533, 767.028605427511
3.38999610675649, 42.2629818349127, 823.251283283556
3.39999717920894, 40.4548801559645, 801.57977527539
3.41000134452198, 46.1779213640128, 730.654624200736
3.42000326760922, 41.0425245592039, 791.234855391936
3.42999797293823, 42.3923885004875, 808.628771771007
3.44000285615304, 45.5617823197134, 723.167648725445
3.44999775711607, 38.8358594638061, 833.433047691402
3.45999926429037, 39.1009666212349, 846.874124966442
3.47000181218862, 44.6611409751815, 880.059340234508
3.48000020519702, 35.9054605211335, 838.201539619507
3.4900026891692, 22.411792358211, 907.061065982237
3.49999746978964, 29.8059967872484, 784.078681966774
3.50999869589289, 39.2827820058665, 818.261640735682
3.52000081315797, 36.4241928977132, 829.550357809095
3.52999863661142, 43.5300787587773, 823.606909169641
3.53999899894863, 37.6044571392451, 817.980655762757
3.55000230764832, 39.520767231154, 819.585143817999
3.55999766873837, 39.0987045250309, 799.504918876899
3.57000227037735, 42.5542722166483, 772.620921618536
3.57999972789045, 39.9763560363739, 775.548100887478
3.59000099441034, 48.3014061050384, 865.131026625715
3.6000006915169, 47.1088578541464, 844.137539324119
3.60999876643031, 38.6765904245488, 807.176285039432
3.61999991066602, 46.1187323931511, 767.893006428623
3.62999879536044, 39.3781660715061, 812.985278194687
3.63999971664584, 38.2218214308662, 811.470171617201
3.65000194238805, 35.812135897506, 797.610839164063
3.6600002598612, 39.3690984995232, 816.248284877464
3.66999845761835, 39.2942381392873, 825.138203188344
3.67999987473582, 46.4815884606351, 808.599511398402
3.68999917191597, 32.3222033736537, 802.432961802962
3.69999943970551, 36.6476384559634, 816.322322686923
3.70999943392397, 43.9186656106401, 821.156164136945
3.72000175758472, 33.9747326063102, 810.01389862266
3.73000112939508, 36.303078826661, 806.559359598989
3.73999998519068, 41.3731193747759, 779.847051185075
3.75000043149688, 36.2824070875682, 806.679423266498
3.76000075365051, 32.5697405678567, 801.478671893206
3.76999927162233, 33.6002533919199, 826.78581486969
3.7800010546204, 38.2030703177116, 821.212675190383
3.79000075973549, 36.4190947751332, 798.778906364301
3.7999998142457, 24.8100344943454, 823.606745221738
3.80999940525344, 32.6154896262171, 811.905541363318
3.82000049721633, 37.9266461915523, 824.821550605621
3.83000085729261, 32.3203511496741, 790.546853838217
3.84000125787367, 31.159804319482, 810.344696175854
3.84999943002093, 34.3743092192725, 827.247321105611
3.85999877785404, 36.5859632347339, 794.225210242622
3.86999955780308, 32.719911393449, 809.795478729052
3.87999921680932, 34.2663248168036, 808.226092834609
3.89000052382276, 32.1333989229964, 820.307827021664
3.90000079057144, 32.1820531268068, 812.635635229377
3.90999993987657, 33.8660716893611, 789.794829610291
3.92000021954807, 32.004890603081, 818.661041071991
3.93000118355219, 31.9571405167605, 830.79951463389
3.93999998444321, 31.068203736256, 789.812263010581
3.95000072260443, 31.1061394763241, 812.208625112518
3.96000036280632, 31.9931859388129, 815.631403010187
3.97000035756839, 33.3409725993755, 824.50509835913
3.97999979628936, 30.3669366589637, 812.881801965017
3.98999980304422, 29.6005381027111, 808.695303052168
3.99999926235039, 31.4369590634375, 800.871041871021
4.00999901826351, 29.9290825152293, 808.315874157004
4.01999972309296, 31.0907388400589, 806.491579603667
4.02999996489922, 31.4550676717274, 814.282269264298
4.04000018516678, 30.8698687951589, 808.11878428061
4.05000066999145, 31.9250215157615, 813.669603179856
4.05999980149489, 30.5549391059959, 803.15992575606
4.06999943425922, 28.9978213706187, 815.520284302045
4.07999945948522, 30.0265915850878, 808.427172985054
4.08999966016467, 29.5232866778439, 808.025147669877
4.09999972124884, 29.1406996732376, 808.180503008597
4.10999923923137, 29.9685330729767, 823.29184774667
4.11999926527822, 29.2858309429161, 824.312624021141
4.13000063993298, 28.2153307372269, 801.25133800138
4.13999961388398, 28.8353559457677, 813.951886316164
4.14999981694791, 27.0889626746044, 820.720335983382
4.16000024189028, 28.0426657424148, 807.197486759445
4.16999985281723, 28.8445038990039, 800.670630785665
4.18000026315334, 26.9129031131839, 816.986732856752
4.19000021386719, 27.2698199335918, 806.496773786955
4.19999971751092, 27.2151027537595, 808.49252498955
4.20999991727272, 27.5231915316044, 804.761373051743
4.22000051846608, 25.2482773947975, 814.063638183599
4.22999994365738, 27.6599919903384, 797.351701619078
4.24000013239226, 27.241800678763, 809.740179901366
4.25000046015857, 25.8265880876678, 807.185773669716
4.26000024036396, 25.1067143562424, 814.039599824621
4.26999981795393, 25.3481442009576, 808.477759122817
4.28000045289683, 24.2088610578238, 803.201939550885
4.29000006294166, 25.2167141211217, 804.498149602983
4.29999967627841, 26.0991086030532, 810.425998099436
4.31000011404039, 24.4463239001774, 815.059055274994
4.32000007009975, 25.0421817483204, 801.001342194001
4.33000012995228, 24.6537641879306, 808.237952093635
4.33999978627585, 25.4347873104954, 803.027033074243
4.35000026771681, 24.3039999066195, 807.463894561271
4.35999992735521, 24.2368383950314, 814.275136294592
4.36999973714728, 23.7715264684931, 808.24955199414
4.37999962343549, 24.2774656687744, 801.483681094925
4.39000022608364, 24.3048289675064, 806.51532585444
4.40000039965217, 24.3338884579112, 801.250988299743
4.40999977095989, 23.1360902027141, 810.596279319995
4.42000019213064, 22.4255300223537, 809.999592783386
4.43000022705599, 23.4288261036167, 800.647823673707
4.43999991909148, 22.7747215195297, 810.781251647944
4.44999990978314, 21.6480016136883, 804.86891141238
4.45999996551124, 20.9454421951081, 804.419413821449
4.46999975641676, 21.9232456872794, 807.171121179165
4.48000020519702, 21.7739135679013, 806.236195402948
4.49000007151029, 20.6124171857633, 807.048246682472
4.50000002787886, 21.3614940993763, 806.537941274965
4.50999994582125, 21.8864459795494, 802.523680806012
4.52000020242138, 20.1723961521109, 805.456376850639
4.52999983028398, 20.2730322984761, 807.289458357946
4.54000016544894, 19.5219680352188, 806.071727485722
4.5500000277616, 20.3413803805801, 805.533291174066
4.55999989674078, 20.1392936983295, 808.841259634873
4.57000009310251, 20.1450771458005, 808.141672610686
4.58000025982042, 20.0683426937723, 803.480002766767
4.58999995476798, 20.0698006964426, 802.865129747398
4.60000018352825, 19.6416058768084, 807.480560072554
4.60999975928383, 19.1518921475223, 803.004006696799
4.61999991066602, 18.8364779862929, 803.972596718529
4.63000021761126, 18.5203536135123, 804.741429633264
4.64000017993751, 17.9878581220933, 804.543410424324
4.65000013140911, 17.8575164965422, 806.303906364775
4.65999981742117, 18.0759058942891, 803.194428214986
4.67000018709664, 17.8556051349293, 803.143858364049
4.67999987473582, 17.805221649935, 801.862341317955
4.68999999773495, 17.0022380407164, 800.217402716379
4.69999984321598, 16.8883797585305, 800.427130383436
4.70999982824942, 17.3379842251504, 804.731297414416
4.71999983084231, 16.8214270992648, 802.539047325243
4.72999999966384, 16.897801914857, 802.085760516315
4.73999998519068, 16.4442689541323, 801.313395159826
4.7500000718683, 15.7600782140144, 800.842201844317
4.7600000507659, 16.0294749927137, 798.703048322279
4.76999995850858, 15.4038007907779, 801.709343701839
4.78000004774634, 15.9001847401249, 802.748445737315
4.79000010376545, 15.2602588488943, 798.1988587221
4.80000013476521, 15.0954160381322, 801.45358928492
4.810000031701, 15.2034884283925, 798.707287055435
4.81999988502912, 15.0355976842283, 799.601389655968
4.82999995991487, 14.7324772360767, 797.968104146513
4.84000008860648, 14.3930085234291, 801.317611214487
4.8500000013479, 14.2083963104264, 796.545615155581
4.85999989449898, 14.2076402663368, 798.556478786736
4.87000010341596, 14.0080125399545, 798.44701648371
4.88000001659953, 13.9668166051996, 797.235688466669
4.89000000276703, 13.5034796054224, 797.564221632649
4.90000002677911, 13.0425624039335, 795.947863704812
4.90999993987657, 12.9056469115067, 796.435135707089
4.91999997640922, 12.8727876784103, 794.818086570545
4.92999999553189, 12.39385394669, 794.580416189646
4.93999998444321, 12.4655053806068, 793.464811720663
4.95000004187376, 12.3201112778649, 792.998724994936
4.95999991931584, 12.1107193584371, 791.583943559958
4.96999992417298, 12.0628671846953, 792.009293633998
4.98000000805454, 11.8950452843676, 790.796511290178
4.99000000998903, 11.610272009742, 791.920451672112
5.00000007128752, 11.23262041262, 788.786989517665
5.0100000064182, 11.2735952739142, 788.864855070373
5.01999991622514, 10.9074878828009, 787.41241504025
5.02999996489922, 10.2419794046238, 781.886173935264
5.0400000007271, 10.2892879943539, 782.852498058175
5.04999994902654, 10.4854029974603, 785.056542682087
5.05999997763349, 10.3102913040686, 785.229640529745
5.06999995064706, 10.1019768226647, 785.28340579864
5.07999996411862, 9.96893157434772, 786.2666845977
5.08999998892895, 9.07158994443191, 778.90462094005
5.10000004252948, 8.58960650298379, 777.240465216573
5.11000002415033, 7.77113737791244, 768.697377709406
5.12000003233021, 7.93950783392624, 774.961329443415
5.13000004026053, 7.54534909497845, 773.11836219234
5.14000005340117, -2.3835337359463, 747.269321623815
5.14999996011875, -2.73926150745676, 745.759849505105
5.15999996206668, -2.89790185795684, 745.847844426769
5.1699999895443, -3.15117965021264, 745.235696221181
5.17999999592389, -3.48199611121975, 742.913576098273
5.1899999527206, -3.755139652895, 741.273152419983
5.19999997271323, -3.95964032788814, 740.222637343735
5.21000004196928, -4.18948767720961, 738.889819963208
5.22000003103394, -4.37953909419706, 737.793128306521
5.22999994365738, -4.57396613665888, 736.595813744935
5.24000001601868, -4.70897089523509, 735.324970304422
5.25000000526039, -4.89926085860268, 733.727387734471
5.26000001809219, -5.07762165857008, 732.390808990195
5.27000003516628, -5.23116276505093, 731.066396920514
5.28000002836115, -5.54500179053462, 734.196492741329
5.28999995922359, -5.77098049628494, 731.753509277204
5.29999998035002, -5.89825461147404, 729.55229304501
5.31000001499042, -5.98612716752073, 727.235002497733
5.31999997330442, -6.11551741958916, 724.731884049072
5.33000003536029, -6.50508461878675, 724.956234630738
5.33999997115356, -6.82254800578075, 724.085925740453
5.34999999671289, -6.97486001647347, 721.874414755055
5.36000001563362, -7.03380278046403, 719.430976996654
5.36999999595417, -7.12249563741044, 718.02934210881
5.37999996065652, -7.24718500904064, 715.985377089452
5.38999997892511, -8.09337911574433, 719.653077161145
5.39999999709807, -8.33389605411154, 718.264551814358
5.41000000699456, -8.53340005556911, 716.970685474827
5.42000003835614, -8.73639259819343, 714.958903458417
5.43000000164474, -8.57169995433799, 713.33425474971
5.43999999251826, -11.1643319719481, 724.84389997812
5.44999998153852, -11.4105459994425, 720.76735712947
5.45999996551124, -8.30614571459911, 710.721976165221
5.47000003052024, -8.59593154199617, 709.70091793797
5.48000000429903, -8.81541846782027, 708.015006605973
5.49000000606861, -9.08203088948418, 706.502635206848
5.50000002787886, -9.54910175111957, 705.904859210238
5.51000000831757, -9.4972521673085, 703.723554677832
5.52000001920024, -10.2536340016665, 703.149037110313
5.53000000933458, -10.4957561601977, 702.256481012539
5.5399999904741, -10.625985277009, 700.831010281034
5.5500000277616, -10.8417435058514, 700.332129975137
5.5600000081406, -11.7346651668334, 699.595674456088
5.56999998423848, -11.9570040148838, 698.20013466723
5.57999999385552, -12.1223133453487, 694.630558883176
5.59000000675015, -12.364974800026, 693.101907118973
5.59999998033263, -12.8891747667976, 693.061675200377
5.61000000749686, -13.3306178824917, 691.972279587867
5.62000000769121, -13.9864800492717, 689.887094228277
5.62999998056978, -14.4387002706913, 691.198423798809
5.6399999946209, -15.761019829473, 697.70878649486
5.64999999558539, -15.7171675056097, 690.910158169047
5.65999999439724, -15.9370110063648, 684.851939359253
5.67000001414912, -16.4240154694092, 680.203988983298
5.68000000149394, -16.9063199683481, 675.942431066833
5.68999999773495, -20.5897382470602, 612.269776093511
5.70000000462006, -17.9710688038704, 668.230140229645
5.7099999859795, -18.5945877390913, 666.07002449442
5.71999998498202, -18.8478840065626, 571.270891231122
5.72999999966384, -19.4094198240032, 658.041779492774
5.73999998519068, -20.6128124965092, 649.345885009702
5.74999999994255, -20.7983014265821, 645.326052766791
5.76000001562164, -21.2044487614379, 640.793404958214
5.76999999285287, -22.0234441852051, 639.164459423596
5.78000001418383, -22.9269084796581, 625.420885738357
5.79000000536985, -23.2945499472589, 624.324612942453
5.80000000655743, -23.0627967901502, 614.826656594073
5.81000000037864, -23.545712249822, 607.120114919583
5.82000000746663, -23.3234491776672, 594.720700414246
5.82999998982749, -23.1439644452421, 584.424795235158
5.84000000091131, -22.9499428928759, 578.252431748712
5.8500000013479, -21.3058951902521, 537.815743479354
5.86000000616331, -20.1799579774509, 541.174324212994
5.86999999429344, -21.8683782112621, 553.399960381306
5.87999998993988, -21.6660844385578, 551.18537622077
5.89000000276703, -20.7806063472688, 549.99992954019
5.90000000131934, -20.5452211927361, 543.227892223904
5.90999998963704, -17.1233856371637, 520.985980872692
5.92000000072311, -16.366064378411, 521.492869530506
5.92999999553189, -17.6021933207509, 512.214989993092
5.94000000766279, -14.6070261857766, 515.033524487497
5.94999999649168, -16.6752382519136, 528.112916301757
5.96000000801397, -16.2167921647077, 522.579584830485
5.96999998918232, -14.5357042871274, 512.846759728857
5.98000000805454, -13.5898051312741, 504.843532519317
5.99000000998903, -15.4853376373769, 512.419188942888
5.99999999039388, -14.9901619495387, 516.150144538816
